,dataset,combina_1,train.shape,test.shape,f1,recall,combinations,combina_2,train.shape,mean,std,min,max,scores_kfold
0,davincis22,0,"(2521, 2)","(841, 2)",0.770815587810199,0.7737891737891738,"['exist21', 'meoffendes21', 'misogyny_centrogeo']",0,"(2521, 2)",0.7582706851856931,0.01519724509322333,0.7397025171624714,0.777660314369175,"[0.7497797841885048, 0.7397025171624714, 0.7492108102083143, 0.777660314369175, 0.7749999999999999]"
1,davincis22,1,"(2521, 2)","(841, 2)",0.7695627354720859,0.7759259259259259,"['detoxis21_aggressiveness', 'exist21', 'haha21', 'mexa3t18_aggress']",1,"(2521, 2)",0.7603020395708512,0.01620979575531002,0.7397025171624714,0.7814927510291749,"[0.7497797841885048, 0.7397025171624714, 0.7534275997852157, 0.7814927510291749, 0.7771075456888892]"
2,davincis22,2,"(2521, 2)","(841, 2)",0.7721686114818237,0.7756410256410257,['mexa3t18_aggress'],2,"(2521, 2)",0.7586383919865767,0.01829417835365613,0.7358951965065501,0.7834086712930541,"[0.7496695307336417, 0.7358951965065501, 0.7473101165085632, 0.7834086712930541, 0.7769084448910741]"
3,davincis22,3,"(2521, 2)","(841, 2)",0.7746645079640166,0.7799145299145299,"['haha21', 'meoffendes21']",3,"(2521, 2)",0.7603442363528862,0.016186690364159026,0.7397025171624714,0.7811236259467471,"[0.7517119583387416, 0.7397025171624714, 0.7515227659472955, 0.777660314369175, 0.7811236259467471]"
4,davincis22,4,"(2521, 2)","(841, 2)",0.767472949707549,0.7679487179487179,"['detoxis21_aggressiveness', 'haha21', 'misogyny_centrogeo', 'metwo22']",4,"(2521, 2)",0.7575796675020504,0.013924675843601617,0.7397025171624714,0.777660314369175,"[0.7539450521815667, 0.7397025171624714, 0.747515068623865, 0.777660314369175, 0.7690753851731735]"
5,davincis22,5,"(2521, 2)","(841, 2)",0.7721686114818237,0.7799145299145299,"['meoffendes21', 'mexa3t18_aggress']",5,"(2521, 2)",0.7598672465959903,0.01900917242866352,0.7358951965065501,0.7834086712930541,"[0.7515986227250369, 0.7358951965065501, 0.7473101165085632, 0.7834086712930541, 0.7811236259467471]"
6,davincis22,6,"(2521, 2)","(841, 2)",0.7685201163153863,0.7737891737891738,"['mexa3t18_aggress', 'misogyny_centrogeo', 'metwo22']",6,"(2521, 2)",0.7588219972159836,0.01661796159846171,0.7379906425229472,0.7814927510291749,"[0.7519149220472472, 0.7379906425229472, 0.7477116704805492, 0.7814927510291749, 0.7749999999999999]"
7,davincis22,7,"(2521, 2)","(841, 2)",0.7673721611972304,0.771937321937322,"['exist21', 'meoffendes21', 'metwo22']",7,"(2521, 2)",0.7584001994286871,0.017418923694374065,0.7358951965065501,0.7835843445347414,"[0.7519149220472472, 0.7358951965065501, 0.747515068623865, 0.7835843445347414, 0.7730914654310314]"
8,davincis22,8,"(2521, 2)","(841, 2)",0.7697703863395271,0.7722222222222221,"['detoxis21_aggressiveness', 'meoffendes21', 'misogyny_centrogeo']",8,"(2521, 2)",0.7615362518882425,0.01580398077483568,0.7377991874729456,0.7834086712930541,"[0.7597592284616808, 0.7377991874729456, 0.7534275997852157, 0.7834086712930541, 0.773286572428316]"
9,davincis22,9,"(2521, 2)","(841, 2)",0.770815587810199,0.7836182336182336,"['exist21', 'haha21', 'mexa3t18_aggress']",9,"(2521, 2)",0.7606301312542165,0.0174391553600872,0.7397025171624714,0.7849477802103146,"[0.7515986227250369, 0.7397025171624714, 0.7494182924646502, 0.7774834437086093, 0.7849477802103146]"
